Start Date,End Date,Intensity Joy,Intensity Trust,Intensity Fear,Intensity Surprise,Intensity Sadness,Intensity Disgust,Intensity Anger,Intensity Anticipation,Valence Joy,Valence Trust,Valence Fear,Valence Surprise,Valence Sadness,Valence Disgust,Valence Anger,Valence Anticipation,Arousal Joy,Arousal Trust,Arousal Fear,Arousal Surprise,Arousal Sadness,Arousal Disgust,Arousal Anger,Arousal Anticipation,Dominance Joy,Dominance Trust,Dominance Fear,Dominance Surprise,Dominance Sadness,Dominance Disgust,Dominance Anger,Dominance Anticipation
12/02/2019,19/02/2019,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,0.852047556,0.0,0.598414795,0.717305152,0.717305152,0.0,0.0,0.6578599735,0.564013841,0.0,0.295847751,0.42733564,0.42733564,0.0,0.0,0.36159169550000003,0.701426025,0.0,0.55258467,0.540106952,0.540106952,0.0,0.0,0.546345811
20/02/2019,27/02/2019,0.5,0.5,0.5,0.25,0.0,0.0,0.0,1.0,0.8665785994999999,0.8665785994999999,0.7549537645,0.821664465,0.0,0.0,0.0,0.7169749007499999,0.5709342559999999,0.5709342559999999,0.455882353,0.525951557,0.0,0.0,0.0,0.45674740475,0.6907308375,0.6907308375,0.5980392155,0.737967914,0.0,0.0,0.0,0.58868092675
28/02/2019,15/03/2019,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84676354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.607266436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.789661319,0.0,0.0,0.0,0.0,0.0,0.0
16/03/2019,31/03/2019,0.5,0.5,0.125,0.25,0.5,0.0,0.0,0.375,0.412648613,0.412648613,0.2278731835,0.19154557475,0.1875825625,0.0,0.0,0.41941875824999997,0.2813581315,0.2813581315,0.15397923875,0.13192041525,0.1998269895,0.0,0.0,0.285899654,0.324866310125,0.324866310125,0.16087344025,0.1448306595,0.1541889485,0.0,0.0,0.30570409975
01/04/2019,16/04/2019,0.5,0.375,0.25,0.125,0.0,0.0,0.0,1.0,0.43543593137500003,0.4154557465,0.14960369875,0.19154557475,0.0,0.0,0.0,0.719121532375,0.269031142,0.269031142,0.07396193775,0.13192041525,0.0,0.0,0.0,0.44031141874999996,0.35004456325,0.3440285205,0.1381461675,0.1448306595,0.0,0.0,0.0,0.59336007125
17/04/2019,10/05/2019,0.5,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.793923382,0.793923382,0.0,0.793923382,0.0,0.0,0.0,0.6651254955,0.5268166089999999,0.5268166089999999,0.0,0.5268166089999999,0.0,0.0,0.0,0.45804498250000003,0.6586452759999999,0.6586452759999999,0.0,0.6586452759999999,0.0,0.0,0.0,0.5396613189999999
11/05/2019,18/05/2019,0.75,0.5833333333333333,0.0,0.25,0.0,0.0,0.0,0.5,0.8610744164999999,0.8394980185,0.0,0.4108322325,0.0,0.0,0.0,0.3394980185,0.5729527105000001,0.552768166,0.0,0.2629757785,0.0,0.0,0.0,0.22880622825,0.7783719546666668,0.767379679,0.0,0.368983957,0.0,0.0,0.0,0.289661319
19/05/2019,03/06/2019,0.6944444444444443,0.4444444444444444,0.05555555555555555,0.16666666666666666,0.0,0.0,0.08333333333333333,0.4444444444444444,0.7502201673333334,0.55295024225,0.09973579916666668,0.278511669,0.0,0.0,0.03610744166666666,0.5573535888333333,0.49884659766666667,0.39129181100000004,0.0493079585,0.1955017301666667,0.0,0.0,0.08708189150000001,0.35380622850000004,0.6050207960833333,0.4399881163333333,0.092097445,0.20736779549999998,0.0,0.0,0.0549613785,0.4243909683333333
04/06/2019,11/06/2019,0.27777777777777773,0.16666666666666666,0.4444444444444444,0.16666666666666666,0.0,0.0,0.16666666666666666,0.8333333333333334,0.587406429,0.273888155,0.3989431966666667,0.273888155,0.0,0.0,0.13474240433333332,0.703948334,0.45386389833333335,0.17531718566666665,0.197231834,0.17531718566666665,0.0,0.0,0.14475201833333332,0.4429065743333333,0.515151515,0.24598930466666666,0.36838978,0.24598930466666666,0.0,0.0,0.191919192,0.6280451572222222
12/06/2019,19/06/2019,0.4,0.5,0.2,0.3,0.1,0.2,0.3,0.5,0.3014531044,0.37318361959999996,0.119682959,0.1548216644,0.005680317,0.0726552179,0.1130779392,0.3367239101,0.1688581314,0.21920415220000003,0.0591695502,0.15432525949999998,0.0839100346,0.1017301038,0.1451557093,0.17179930799999998,0.2704099821,0.3477718359,0.110516934,0.1711229946,0.0472370766,0.0973262032,0.15490196080000002,0.3012477718
20/06/2019,05/07/2019,0.875,0.25,0.125,0.0,0.125,0.125,0.125,0.375,0.95244385725,0.22391017175,0.06538969625,0.0,0.06538969625,0.06538969625,0.06538969625,0.45904887725,0.69636678225,0.13711072675,0.1730103805,0.0,0.1730103805,0.1730103805,0.1730103805,0.34602076125000003,0.83244206775,0.199197861,0.132798574,0.0,0.132798574,0.132798574,0.132798574,0.40106951874999996
06/07/2019,13/07/2019,1.0,1.0,0.0,0.5,0.0,0.0,0.0,1.0,0.830911493,0.830911493,0.0,0.3830911495,0.0,0.0,0.0,0.830911493,0.538062284,0.538062284,0.0,0.2638408305,0.0,0.0,0.0,0.538062284,0.688057041,0.688057041,0.0,0.289661319,0.0,0.0,0.0,0.688057041
14/07/2019,29/07/2019,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.895640687,0.895640687,0.0,0.0,0.0,0.0,0.0,0.715984148,0.548442907,0.548442907,0.0,0.0,0.0,0.0,0.0,0.4688581315,0.796791444,0.796791444,0.0,0.0,0.0,0.0,0.0,0.608734403
30/07/2019,06/08/2019,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.598414795,0.0,0.0,0.0,0.0,0.598414795,0.0,0.0,0.295847751,0.0,0.0,0.0,0.0,0.295847751,0.0,0.0,0.55258467,0.0,0.0,0.0,0.0,0.55258467
07/08/2019,14/08/2019,0.5925925925925927,0.35185185185185186,0.4444444444444444,0.14814814814814814,0.0,0.0,0.0,0.7407407407407408,0.5834434168333333,0.38536621161111106,0.3007485687777778,0.18259210333333334,0.0,0.0,0.0,0.5530603256666667,0.39129181094444443,0.2380815071111111,0.1670511342222222,0.11687812377777777,0.0,0.0,0.0,0.3370818916111111,0.4701921171111111,0.3058031292222222,0.25569419677777777,0.16399286977777777,0.0,0.0,0.0,0.4581105167777777
15/08/2019,22/08/2019,0.6428571428571429,0.21428571428571427,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.07142857142857142,0.5714285714285714,0.5714285712857142,0.23381770142857142,0.08548782785714286,0.10247216457142858,0.10247216457142858,0.0,0.021890922857142857,0.4080015095714286,0.3954522985714286,0.12333168557142857,0.04226396442857143,0.061047948571428576,0.061047948571428576,0.0,0.14285714285714285,0.25951557100000006,0.4130379424285714,0.196587726,0.07894066714285715,0.077158136,0.077158136,0.0,0.08683473385714287,0.30022918257142855
23/08/2019,07/09/2019,1.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.8157199475,0.766182299,0.0,0.766182299,0.0,0.0,0.0,0.8157199475,0.5570934255,0.527681661,0.0,0.527681661,0.0,0.0,0.0,0.5570934255,0.7094474154999999,0.579322638,0.0,0.579322638,0.0,0.0,0.0,0.7094474154999999
08/09/2019,15/09/2019,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.3086745926666667,0.0,0.0,0.0,0.0,0.0,0.0,0.6935270806666667,0.214532872,0.0,0.0,0.0,0.0,0.0,0.0,0.46597462500000003,0.2837195485,0.0,0.0,0.0,0.0,0.0,0.0,0.6428995843333333
16/09/2019,23/09/2019,1.0,0.4,0.2,0.6,0.0,0.0,0.0,0.6,0.9014531043,0.492998679,0.179656539,0.672655218,0.0,0.0,0.0,0.672655218,0.6989619378,0.3155709342,0.1948096886,0.5103806228,0.0,0.0,0.0,0.5103806228,0.7777183598999999,0.4427807484,0.152228164,0.5950089124,0.0,0.0,0.0,0.5950089124
24/09/2019,01/10/2019,0.0,0.0,0.875,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.47457067350000004,0.0,0.0,0.0,0.02575957725,0.441050198,0.0,0.0,0.44333910049999997,0.0,0.0,0.0,0.22145328725,0.233564013875,0.0,0.0,0.48885917974999993,0.0,0.0,0.0,0.07442067725,0.397950089
02/10/2019,09/10/2019,0.4166666666666667,0.5416666666666666,0.20833333333333334,0.20833333333333334,0.0,0.0,0.16666666666666666,0.20833333333333334,0.4373623954166666,0.5385292821666666,0.14861294583333334,0.23227653016666663,0.0,0.0,0.04887714666666667,0.22743284900000002,0.30867935416666664,0.3589965398333333,0.1828143021666667,0.158592849,0.0,0.0,0.13350634366666667,0.137254902,0.3521984550833333,0.464349376,0.1295306,0.193107546,0.0,0.0,0.037433155,0.18865121799999998
10/10/2019,17/10/2019,0.125,0.125,0.625,0.375,0.25,0.0,0.25,0.5,0.20805812425,0.20805812425,0.3342140025,0.24306472925,0.035006605,0.0,0.10171730525,0.32843461025000004,0.11461937725,0.11461937725,0.34515570949999996,0.31185121125,0.197231834,0.0,0.14446366775,0.16825259525,0.17335115875,0.17335115875,0.3284313725,0.22549019625,0.0521390375,0.0,0.1163101605,0.293894830625
18/10/2019,25/10/2019,0.5,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.5,0.6274768823333333,0.29854689566666665,0.0,0.0,0.15235579033333332,0.0,0.0,0.5345662703333334,0.4163783163333334,0.18281430233333332,0.0,0.0,0.10899653966666667,0.0,0.0,0.32756632066666663,0.5531788473333333,0.265597148,0.0,0.0,0.15270350566666666,0.0,0.0,0.4711824123333333
26/10/2019,02/11/2019,0.5,0.16666666666666666,0.4166666666666667,0.16666666666666666,0.0,0.0,0.0,0.5833333333333334,0.4658740641666666,0.1369440775,0.24284456183333336,0.1369440775,0.0,0.0,0.0,0.4258036106666667,0.3212226068333333,0.08765859283333333,0.23644752016666667,0.08765859283333333,0.0,0.0,0.0,0.25115340249999996,0.4105763516666667,0.12299465233333333,0.25014854416666665,0.12299465233333333,0.0,0.0,0.0,0.37730243599999996
03/11/2019,10/11/2019,0.25,0.3333333333333333,0.25,0.16666666666666666,0.0,0.0,0.0,0.75,0.20497578166666666,0.40785997375,0.14960369875,0.203434610375,0.0,0.0,0.0,0.48866138266666664,0.15859284891666667,0.2448096885,0.07396193775,0.1470588235,0.0,0.0,0.0,0.3298731256666667,0.15641711225,0.331996435,0.1381461675,0.1448306595,0.0,0.0,0.0,0.39973262024999995
11/11/2019,18/11/2019,1.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.8102157643333334,0.766182299,0.0,0.766182299,0.0,0.0,0.0,0.8102157643333334,0.660322953,0.527681661,0.0,0.527681661,0.0,0.0,0.0,0.660322953,0.6720142600000001,0.579322638,0.0,0.579322638,0.0,0.0,0.0,0.6720142600000001
19/11/2019,26/11/2019,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.766182299,0.766182299,0.0,0.766182299,0.0,0.0,0.404227213,0.766182299,0.527681661,0.527681661,0.0,0.527681661,0.0,0.0,0.434256055,0.527681661,0.579322638,0.579322638,0.0,0.579322638,0.0,0.0,0.575757576,0.579322638
27/11/2019,12/12/2019,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.832232497,0.0,0.0,0.0,0.0,0.0,0.0,0.832232497,0.726643599,0.0,0.0,0.0,0.0,0.0,0.0,0.726643599,0.718360071,0.0,0.0,0.0,0.0,0.0,0.0,0.718360071
13/12/2019,05/01/2020,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.5,0.29854689566666665,0.0,0.19947159833333336,0.0,0.0,0.0,0.26948480866666663,0.4359313076666667,0.18108419833333333,0.0,0.098615917,0.0,0.0,0.0,0.28950403666666663,0.22952710499999998,0.18835412966666668,0.0,0.18419489,0.0,0.0,0.0,0.383838384,0.40701128933333336
06/01/2020,13/01/2020,0.5,0.125,0.0,0.0,0.0,0.0,0.0,0.5,0.70277410825,0.20937912825,0.0,0.0,0.0,0.0,0.0,0.48877146625,0.439878893,0.089532872,0.0,0.0,0.0,0.0,0.0,0.293685121,0.595365419,0.16399287,0.0,0.0,0.0,0.0,0.0,0.4393939395
14/01/2020,21/01/2020,0.45454545454545453,0.13636363636363635,0.09090909090909091,0.09090909090909091,0.0,0.2727272727272727,0.0,0.5454545454545454,0.5030623273636364,0.15263600336363636,0.054401345000000004,0.07469676954545455,0.0,0.10519995190909091,0.0,0.49081301790909093,0.37983642654545463,0.10050330290909092,0.026895250090909092,0.04781377790909091,0.0,0.06464296936363637,0.0,0.3364265491818182,0.4432020741818181,0.139523578,0.05023497,0.06708799218181817,0.0,0.12445308709090909,0.0,0.44644303999999996
